Time,X,Y,Attention
42.91478605340576,465,159,2
43.011785937057496,470,176,0
43.11293711062622,453,172,0
43.22093715068054,435,228,2
43.31588901144409,437,256,2
43.41488898855591,436,287,2
43.51488889318848,422,309,2
43.61573013923645,412,351,2
43.715730043869016,413,365,2
43.82473001144409,408,363,2
43.91789115258789,404,397,0
44.01389110871887,405,407,2
44.122735980926514,384,406,0
44.21673608201599,354,397,2
44.31173587220764,319,382,2
44.41993605531311,308,385,2
44.5119360629425,343,389,0
44.61893617547607,342,421,2
44.71596490272522,372,422,0
44.81296502479553,394,406,2
44.91248806294251,401,399,0
45.024488051498416,403,325,2
45.11748798664856,415,239,2
45.21295984741211,424,168,2
45.32195981498718,423,118,2
45.41495998855591,427,143,0
45.511996851226804,439,164,2
45.61799679782104,445,185,2
45.7115180629425,455,231,2
45.82151795803833,461,280,2
45.915518059127805,475,313,2
46.023734003814695,472,307,0
46.11673393896484,444,285,2
46.21273389509582,445,265,2
46.321000078201294,448,245,0
46.41400001335144,455,251,0
46.51077209346008,461,256,0
46.61677204005432,469,273,0
46.725772007629395,478,291,0
46.81949605531311,473,297,0
46.911496062942504,467,287,0
47.02349605149841,470,290,0
47.11158501525879,453,285,0
47.22458493133545,455,288,0
47.316584938964844,464,263,2
47.41406395613098,459,275,0
47.5200641411438,438,278,0
47.61348301335144,429,301,0
47.711483062942506,417,352,2
47.81348306103516,420,368,2
47.91161401525879,412,383,0
48.01861388937378,414,379,0
48.11261399046326,400,432,2
48.21195911062622,394,438,0
48.31495903623962,408,408,2
48.42365897138977,461,390,2
48.51365912397766,549,431,2
48.61265910108948,560,436,2
48.718637984741214,568,441,0
48.81263808583069,685,368,2
48.915638011444095,821,201,2
49.013023038146976,800,175,2
49.1230229332428,727,151,2
49.22084615830994,691,182,2
49.312846165939334,588,244,2
49.4128460705719,515,247,2
49.51261918119812,341,351,2
49.61361901335144,325,339,2
49.71061913542175,332,306,0
49.81387596566773,356,299,2
49.914876036239626,386,299,2
50.01183606294251,425,290,2
50.117836009536745,430,317,0
50.21483613160706,438,318,2
50.319425076293946,442,321,0
50.41142508392334,447,355,2
50.51642510299683,446,393,2
50.61672096376038,448,411,2
50.715720940872195,438,413,0
50.81972103242493,428,411,0
50.91481102861023,429,405,0
51.023810996185304,449,409,0
51.11942505531311,460,382,2
51.2114250629425,463,377,0
51.319425102996824,457,347,2
51.41048808773804,452,349,0
51.51948805531311,447,317,0
51.61248799046326,438,312,2
51.71170211062622,443,304,0
51.81370210871887,447,314,0
51.92074020980835,446,317,0
52.0137401449585,446,355,2
52.11574014305115,450,353,0
52.21649312969971,445,368,0
52.321492910354614,439,353,0
52.41449308392334,442,339,0
52.52533088365173,443,347,0
52.61833081880188,457,338,0
52.71043997138977,461,312,0
52.81243996948242,455,263,2
52.911439946594236,461,244,2
53.01157301525879,461,176,2
53.11157315830994,564,125,2
53.22157305340576,690,93,2
53.317796914169314,753,82,2
53.41179701525879,696,120,0
53.51715593896484,664,128,2
53.61215596757507,496,128,2
53.71915584169006,464,134,2
53.81259307629394,419,160,2
53.92159304386902,408,178,2
54.01359305149841,388,196,0
54.11071694468689,379,193,0
54.21171701525879,411,182,0
54.31131289700318,427,177,2
54.4193129370575,447,219,2
54.51431296566773,479,269,2
54.622858942779544,509,301,2
54.717858971389774,520,305,2
54.81185883406067,531,311,0
54.92107817356872,520,287,0
55.01407810871887,500,258,2
55.123348980926515,500,245,0
55.212348967575075,487,241,0
55.3223488626709,474,216,0
55.417888200271605,475,225,0
55.512888228881835,474,222,0
55.62288812397766,483,228,0
55.7170001411438,481,232,0
55.82600010871887,474,243,0
55.92013095994568,481,269,0
56.012130967575075,491,256,0
56.119131080108644,496,282,0
56.214865940872194,490,307,2
56.32486583596802,481,304,0
56.416865843597414,478,280,0
56.51451608964538,475,271,0
56.61851618119812,488,270,0
56.71255099046326,492,266,0
56.82155095803833,484,260,0
56.914551131607055,487,261,0
57.0107819923706,493,251,0
57.11778186648559,496,272,0
57.21078204005432,480,322,2
57.31457787030029,490,330,2
57.412577919891355,489,333,0
57.51115392752075,490,328,0
57.61115383215332,474,335,0
57.71715401716614,476,295,2
57.811549919891355,483,298,0
57.91455008392334,483,295,0
58.02255012397766,479,276,2
58.11329094277954,476,277,0
58.21129099237061,472,275,0
58.316448062942506,471,276,0
58.41244801907349,476,303,0
58.51044806866455,485,307,0
58.6115619923706,508,302,2
58.71056196948242,527,308,2
58.814561822616575,530,308,0
58.91755812969971,512,305,0
59.02255814877319,495,372,2
59.11155813542175,489,374,2
59.2142902040863,484,381,0
59.31929022315979,484,376,0
59.4131998664856,484,361,0
59.512199843597415,485,341,0
59.6152000076294,488,334,0
59.723507171661375,486,305,2
59.8115069923706,485,278,2
59.91750717738342,489,279,0
60.01624098664856,487,289,0
60.126241120162966,501,305,0
60.21876197138977,503,336,2
60.313762,515,313,0
60.413761904632565,531,329,0
60.51752889128113,525,350,2
60.61052882643128,521,354,2
60.71752893896485,511,341,0
60.81334896566772,516,329,0
60.922348933242795,513,345,0
61.01642117738342,526,369,0
61.12242112397766,524,384,2
61.21842108010864,509,379,0
61.3115240038147,481,373,2
61.41952404386902,482,354,0
61.513524144958495,504,397,2
61.61221711062622,502,400,0
61.71421710871887,514,461,2
61.82343814686585,504,471,2
61.91243813351441,496,439,0
62.024438122070315,495,433,2
62.11687287030029,506,414,2
62.226873003814696,528,464,2
62.31787284550476,546,448,0
62.41140918310547,554,441,2
62.521409078201295,544,410,2
62.61293106294251,541,376,2
62.72193103051758,538,300,2
62.80993108964539,555,298,2
62.91142999237061,533,269,2
63.01243006294251,534,262,0
63.11143004005432,527,249,0
63.22052390272522,520,270,0
63.31152398283386,522,324,2
63.41231106294251,514,329,0
63.51631091607666,511,329,0
63.61131094468689,523,311,0
63.72052298283386,532,280,2
63.81252299046326,532,281,0
63.91452298855591,535,298,0
64.01044500572205,531,312,0
64.11044491035462,496,248,2
64.21273699046326,489,208,2
64.3127371335144,477,177,2
64.41173711062622,472,171,2
64.5148339408722,468,156,0
64.6118340629425,473,159,0
64.7188339370575,463,183,2
64.81092708773804,450,210,2
64.91192715830994,455,243,2
65.01392715640259,460,241,0
65.12580806103516,480,274,0
65.21980792370606,489,347,2
65.3107149923706,502,408,2
65.41071513542175,511,421,2
65.5127151335144,509,412,0
65.61345894277954,508,402,0
65.7154589408722,502,411,0
65.81331094850158,500,413,0
65.91631087411498,489,409,0
66.02031096566772,476,317,2
66.11094382643128,481,284,2
66.21294382452393,474,301,0
66.32294395803834,477,291,0
66.41391387030029,472,342,2
66.5109139923706,462,386,2
66.61891403242493,464,377,2
66.71151011062622,466,367,0
66.81351010871887,468,342,2
66.91245993896484,479,317,2
67.01145991607666,482,336,0
67.11446008010864,476,326,0
67.21818198474121,476,341,0
67.3191820553131,477,331,0
67.41418184550476,461,307,0
67.52258502861022,429,328,2
67.61058484931945,425,324,2
67.72574897138978,427,311,0
67.8187491449585,442,300,0
67.91174908010865,445,309,0
68.02092198283387,449,325,0
68.11092189700318,450,301,0
68.22192195803834,477,287,0
68.31565503623962,490,242,2
68.42365483787536,506,167,2
68.51765493896484,506,135,2
68.61209117356873,499,116,2
68.71709119264221,502,116,0
